School,MonthCode,CalMonth,GradeLevel,GradeSort,RosterCount,Absent,Present,Released
01M015,5,Jan,1,1,31,28,574,0
01M015,5,Jan,2,2,26,48,445,0
01M015,5,Jan,3,3,31,43,568,0
01M015,5,Jan,4,4,24,29,442,0
01M015,5,Jan,5,5,19,12,368,0
01M015,5,Jan,0K,0,30,43,537,0
01M015,5,Jan,PK,-1,17,22,265,15
01M015,6,Feb,1,1,30,16,404,0
01M015,6,Feb,2,2,25,17,333,0
01M015,6,Feb,3,3,32,15,419,0
01M015,6,Feb,4,4,24,21,315,0
01M015,6,Feb,5,5,19,9,257,0
01M015,6,Feb,0K,0,30,20,380,0
01M015,6,Feb,PK,-1,15,17,193,0
01M015,7,Mar,1,1,30,48,593,0
01M015,7,Mar,2,2,25,37,513,0
01M015,7,Mar,3,3,31,31,651,0
01M015,7,Mar,4,4,25,30,509,0
01M015,7,Mar,5,5,19,12,406,0
01M015,7,Mar,0K,0,28,49,559,0
01M015,7,Mar,PK,-1,15,21,309,0
01M015,8,Apr,1,1,29,23,347,0
01M015,8,Apr,2,2,25,18,307,0
01M015,8,Apr,3,3,31,25,378,0
01M015,8,Apr,4,4,25,21,304,0
01M015,8,Apr,5,5,19,16,231,0
01M015,8,Apr,0K,0,27,22,329,0
01M015,8,Apr,PK,-1,16,5,194,0
01M015,9,May,1,1,28,22,594,0
01M015,9,May,2,2,25,28,522,0
01M015,9,May,3,3,31,32,650,0
01M015,9,May,4,4,25,20,530,0
01M015,9,May,5,5,19,19,399,0
01M015,9,May,0K,0,27,30,564,0
01M015,9,May,PK,-1,16,23,329,0
01M015,10,Jun,1,1,28,26,450,0
01M015,10,Jun,2,2,25,47,378,0
01M015,10,Jun,3,3,31,47,480,0
01M015,10,Jun,4,4,25,41,384,0
01M015,10,Jun,5,5,19,14,302,0
01M015,10,Jun,0K,0,27,34,425,0
01M015,10,Jun,PK,-1,16,34,238,0
01M015,1,Sep,1,1,35,30,524,0
01M015,1,Sep,2,2,33,29,399,0
01M015,1,Sep,3,3,37,21,487,0
01M015,1,Sep,4,4,25,38,351,0
01M015,1,Sep,5,5,18,9,273,0
01M015,1,Sep,0K,0,31,38,403,0
01M015,1,Sep,PK,-1,21,45,258,0
01M015,2,Oct,1,1,34,26,541,0
01M015,2,Oct,2,2,27,36,422,0
