Word,Frequency
curious,1
professions”,1
marta,2
corners,1
extraordinary,2
stones,1
order,1
off,3
give,3
nose,1
chuckled,1
sliding,1
habit,1
hold,2
eggs,1
canines,1
just,9
special,1
course,2
expected,1
mirror,1
color,1
sharp,1
still,6
scary,3
stream,1
boy,1
toward,2
having,1
where,4
october,1
danger,1
sealed,1
idea,2
arrange,1
done,1
packed,1
document,1
use,2
discovered,1
had,31
two,4
worst,1
little,6
prepare,1
force,2
disturbed,1
model,2
anything,4
continue,1
table,1
eyes,3
open,1
round,1
pets,2
exactly,3
lovely,1
mean,1
youll,1
hanging,1
getting,5
arbors,1
manner,2
as,27
less,3
project,2
ignoring,1
realized,3
them,7
type,2
colors,2
of,58
remains,1
thing,1
emitting,1
cab,3
tendency,1
weekend,1
ponies,1
hesitation,1
cubical,1
from,10
trace,1
appear,2
recognition,1
watching,1
view,2
saying,1
weather,1
appease,1
judge,2
year,1
dead,1
braincase,1
living,1
it,68
pride,1
covers,1
shifted,1
should,2
be,33
knowing,3
but,37
perfect,4
do,9
house,2
now,3
“college,1
breath,1
she,81
yesterday,1
john,1
well,1
rushing,1
signal,1
disappeared,1
documents,1
you,32
call,1
understood,1
run,1
discussion,1
wouldnt,1
good,3
ball,3
began,1
heading,2
shaded,1
thought,1
edge,1
hurt,1
ordinary,2
was,74
closed,1
problem,1
compared,2
someone,1
caught,1
hepatic,1
simply,1
running,2
love,1
implications,1
continued,6
those,1
touch,1
each,2
horizontal,1
bay,1
mother,2
colorado,1
build,1
sizing,1
santa,1
expert,1
lottery,1
odors,1
did,3
gurgled,1
pot,1
nervous,1
mouth,2
matter,4
or,6
shell,1
decision,2
milk,1
secret,1
telling,1
completely,2
birthday,1
ten,1
been,12
there,21
rather,1
write,1
first,4
liquid,1
set,2
wide,1
1939,1
all,21
carefree,1
fear,5
threaded,1
insisted,1
hiding,1
burger,2
enter,1
world,4
winning,1
amount,1
educational,1
say,1
thats,4
briefly,1
months,2
arrived,1
street,1
every,3
this,17
anywhere,1
character,1
into,5
daughters,1
imagine,1
west,1
atmosphere,1
week,1
shes,1
fancy,2
wave,4
phrase,2
waited,1
belonging,1
pursue,1
managed,1
enough,2
fingers,2
drove,1
heard,1
mere,1
because,2
everyone,1
winchester,1
placed,1
dont,3
trying,1
seemed,4
schedule,1
morning,1
an,8
down,10
prepared,1
read,1
grave,1
anticipated,1
meaningful,1
road,2
hash,1
big,2
found,5
crossroads,1
except,3
plans,2
line,1
happen,1
explore,1
scent,1
feeling,1
dana,2
weight,1
think,3
under,3
third,1
moment,7
gorilla,1
weakness,1
up,8
intelligent,1
important,1
tiger,1
possible,1
river,1
not,7
someones,1
ever,4
donna,1
crushed,1
wore,1
side,1
number,3
concerning,1
heights,1
nervously,1
that,51
rocky,2
cotton,1
card,1
let,3
knowledge,1
blanket,1
way,7
punished,1
green,1
are,9
concept,1
addins,1
taking,1
giraffes,1
heres,1
airfreshener,1
easier,2
something,11
car,3
routine,2
since,1
teeth,1
they,12
difficult,1
uneasiness,1
bed,1
role,2
surprise,1
fancies,1
pushed,1
meaningless,1
seems,1
bit,1
inch,1
hoping,2
failed,2
here,5
these,3
men,1
purpose,1
case,1
together,2
losing,1
computer,1
positive,1
guess,1
box,1
cheaters,1
6,1
i,27
beautiful,3
away,3
tracks,1
again,3
frozen,1
needed,2
random,5
paragraphs,1
worked,2
try,5
must,1
12,1
couldnt,7
bounced,1
delay,1
certain,1
contradictory,1
got,1
mom,4
mouths,1
harm,1
crashed,2
runs,1
barbara,1
awoke,1
us,1
nobody,2
pass,1
door,1
private,1
part,1
soon,2
than,4
chunks,1
making,2
know,6
sat,3
chance,1
ordered,2
bronze,1
other,3
her,45
walking,1
steel,1
writing,3
senseless,1
true,3
engulfing,1
vanilla,1
im,5
hall,1
yelling,3
promised,1
knew,5
drunkards,1
star,2
debbie,1
top,1
able,1
when,6
played,1
best,3
walked,1
kinds,1
according,1
almost,1
right,1
opportunity,1
am,2
correct,1
humanoid,1
look,3
already,1
mental,1
shape,2
embrace,1
next,4
half,2
purple,1
cone,2
its,7
save,2
longer,1
explain,5
is,14
who,6
tell,2
hoped,1
find,1
man,2
me,4
cheat,1
headon,1
better,5
late,3
bend,1
crept,1
distance,1
everything,2
glass,2
to,120
until,1
lane,1
paths,1
field,1
could,17
keep,1
much,3
sea,1
so,12
only,5
the,183
understand,5
ratty,1
would,20
and,81
pressed,1
headphones,1
answer,2
work,4
tended,1
doesnt,2
cover,1
eating,2
careened,1
types,1
pink,1
years,5
beating,1
happy,1
during,1
ought,1
reluctantly,1
see,8
beneath,1
gets,1
trust,1
pounds,1
power,1
also,1
pm,1
put,3
brownish,1
one,9
hadnt,1
regular,1
eastward,1
remember,1
can,3
time,13
fudge,1
start,1
melt,1
purposes,1
touched,1
more,4
become,2
a,53
beauty,1
makes,2
thinlipped,1
face,5
on,16
my,8
plenty,1
informed,1
choice,3
step,2
playing,1
frankness,1
advance,1
engaging,1
existing,1
underpants,1
risks,1
showing,1
discipline,1
insides,1
maybe,1
continuous,1
outside,2
twenty,2
slow,1
truth,1
grizzly,1
odds,1
felt,4
wharf,1
cookie,2
called,2
won,1
rule,1
least,2
rose,1
once,3
doctors,1
killed,1
hard,2
wait,1
underpinnings,1
change,2
particularly,1
multnomah,1
chocolate,5
check,1
peered,1
another,6
exist,1
how,9
planned,1
girl,3
texted,1
hed,1
full,1
glared,1
waves,1
existed,1
covering,1
soft,1
exhausted,1
yet,3
secrets,1
gone,2
no,8
help,2
phone,1
precise,1
id,1
noticed,4
hit,3
home,1
their,4
your,4
paragraph,5
long,2
come,2
excited,1
glanced,1
were,11
equation,1
sun,2
body,2
like,7
stuff,1
hair,2
need,1
east,1
early,1
takes,2
arent,1
quite,2
desperate,1
day,2
unease,1
remembered,1
form,1
for,21
six,1
eyebrows,1
reach,2
his,18
slices,1
shade,1
chapter,1
distraction,1
hours,1
by,4
go,4
meal,3
told,1
given,3
after,2
leave,2
anyone,2
appreciate,1
throughout,1
learned,2
friends,2
took,2
excuse,2
server,1
chips,2
robot,1
wanted,5
handsome,1
younger,1
showed,1
demuring,1
too,2
tree,1
