Word,Frequency
breath,1
pushed,1
knowing,3
answer,2
having,1
harm,1
its,6
thing,1
door,1
cone,2
or,6
truth,1
easier,2
shape,2
courage,1
holding,1
kinds,1
mental,1
trust,1
realized,3
with,15
during,1
who,6
dana,2
last,6
chuckled,1
minute,1
concerning,1
sandcastle,6
really,2
take,3
danger,1
scary,3
depth,1
shade,1
ferocity,1
questions,1
hand,2
remains,1
pressed,1
happen,1
want,5
private,1
there,21
debbie,1
also,1
change,2
you\re,1
wanted,5
form,1
commute,1
waiting,1
person,1
marshmallows,1
again,3
thinlipped,1
uneasiness,1
eggs,1
schedule,1
strong,2
emitting,1
cheaters,1
cotton,1
else,2
liquid,1
button,2
pack,1
may,2
plenty,1
run,1
hundreds,1
flame,1
lovely,1
none,1
careened,1
about,14
festival,1
people,2
supposed,2
ears,1
resisted,1
morning,1
next,4
hill,1
we,3
list,2
showed,1
shouldn\t,1
horizontal,1
killed,1
thought,1
homeless,1
generate,3
toy,1
seemed,4
revolution,1
early,1
much,3
give,3
understood,1
fell,3
been,12
coming,1
disappeared,1
youth,1
fitted,1
bend,1
sharp,1
model,2
simply,1
comprehended,1
full,1
no,8
mother,2
santa,1
estate,1
advance,1
inch,1
weatherman,1
feet,1
those,1
intelligent,1
takes,2
sea,1
candy,2
anyway,1
arrived,1
continue,1
pie,1
packed,1
hadnt,1
demuring,1
worker,1
far,1
thats,2
types,1
course,2
marta,2
hours,1
in,42
squinted,1
go,4
meeting,1
cheat,1
both,2
hanging,1
wasn\t,1
only,5
purpose,1
“college,1
unknown,3
watching,1
judge,2
stopped,1
throughout,1
darker,1
stuff,1
airfreshener,1
edge,1
trace,1
then,3
meant,6
touch,1
went,2
october,1
humanoid,1
cubs,2
remembered,1
backwardly,1
almost,1
ordered,2
storymaking,1
numerous,1
creature,2
eastward,1
road,2
taking,1
stones,1
scent,1
high,2
seven,1
seconds,1
expression,2
and,81
wondered,1
server,1
program,1
girl,3
insisted,1
through,3
teeth,1
your,4
head,2
caption,1
brave,1
dark,2
gnaw,1
already,1
drown,1
love,1
daily,1
someones,1
down,10
even,4
everything,2
most,1
pink,1
existing,1
cirrhosis,1
proudly,1
tell,2
gurgled,1
placed,1
signal,1
cab,3
hesitation,1
earth,1
know,6
engulfing,1
secret,1
top,1
brownish,1
odds,1
colors,2
type,2
glared,1
either,1
end,6
paths,1
says,1
12,1
tried,7
addins,1
yesterday,1
makes,2
fingers,2
noticed,4
implications,1
chips,2
would,20
toward,2
behind,2
captivating,1
encouragement,1
difficult,1
completely,2
punished,1
arm,1
lottery,1
headon,1
